user_ID,ave_reading_speed,std_reading_speed,Ave_reading_time,Std_reading_time,Average_nword,READ_short,READ_skip,prop_SkipReading,READ_full,prop_fullreading,num_question_answered,average_attempt_times,Std_average_attempts,Ave_first_attempt_rate,Std_first_attempt_rate,Ave_last_attempt_rate,Std_last_attempt_rate,ave_attempt_rate,Std_ave_attempt.rate,class_HCI,Final_exam_grade,final_comp_grade,final_performance
1,86.91488439,156.2494995,333.7159091,603.6449335,5033.522727,41,30,0.340909091,17,0.193181818,210,3.570410839,2.574882881,0.367424242,0.39570579,0.80472028,0.332929063,0.405009507,0.353179404,1,0.841328348,0.884107078,1
2,4.668798355,1.629181201,586.25,224.5356319,2466.75,0,0,0,4,1,9,3,2.614064524,0.75,0.288675135,0.875,0.25,0.590659341,0.480290185,1,0.921577381,0.869644587,0
3,30.58251308,46.80788999,423.5,508.5838893,5294.1,36,11,0.157142857,23,0.328571429,146,2.506666667,2.883858124,0.539285714,0.415132787,1,0,0.630207631,0.308072715,0,0.62,0.837,0
4,10.65324675,10.38987808,615.5,762.9682169,2593.5,1,0,0,1,0.5,5,1.666666667,0.942809041,0.333333334,0.471404521,0.5,0.707106781,0.214285715,0.303045764,1,0.874222985,0.8776811,0
5,65.70853305,70.46119367,918.2,1903.492763,7850.6,1,3,0.6,1,0.2,11,4,4.515405728,0.533333333,0.273861279,1,0,0.477380952,0.332332682,1,0.910782733,0.851971725,0
6,113.7516816,88.31835309,245.7619048,467.5660803,5747.904762,10,28,0.666666667,4,0.095238095,95,4.382010582,3.947709403,0.322222222,0.406546475,0.922619048,0.249927399,0.405575693,0.350780963,0,0.8,0.8754,0
7,4.031629579,3.688837927,2007.166667,1254.91345,5318.833333,1,0,0,5,0.833333333,13,2.694444445,1.77769097,0.375,0.440170422,0.916666667,0.204124145,0.494689543,0.323389812,1,0.921577381,0.838249239,0
8,165.6809389,289.2112908,253.6029412,530.5817039,4450.838235,24,33,0.485294118,11,0.161764706,161,3.760702614,4.497101857,0.335294118,0.370060385,0.924019608,0.253391299,0.439135631,0.298880852,1,0.860053601,0.885275636,1
9,24.27226418,25.43594552,273.86,435.6798924,2685.78,28,7,0.14,15,0.3,102,2.595666667,2.349387941,0.464333333,0.417991228,0.756666667,0.391172434,0.504668498,0.375784785,1,0.910367063,0.831502053,0
10,46.79217525,216.0008745,1006.355422,1130.463869,5299.975904,11,8,0.096385542,64,0.771084337,196,1.861372764,1.43449043,0.692278204,0.400391797,0.93875502,0.20988622,0.713936243,0.355415941,1,0.921577381,0.976039936,1
11,140.5715561,304.144171,230.2028302,543.9146437,5039.518868,50,45,0.424528302,11,0.103773585,368,2.945455959,2.607207334,0.35880079,0.397158503,0.755974843,0.374435651,0.41349095,0.35250974,1,0.832666865,0.894229617,1
12,13.32833021,0,1066,0,14208,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0.850793651,0.811858619,0
13,133.451536,86.73746884,375.5921053,1039.066151,13983.15789,1,17,0.894736842,1,0.052631579,222,1.473684211,2.064741605,0.947368421,0.229415734,0.947368421,0.229415734,0.947368421,0.229415734,1,0.859285714,0.842815615,0
14,128.9885668,160.4462569,478.4,1606.450303,12244.63333,11,16,0.533333333,3,0.1,107,5.124651416,5.203823365,0.265664488,0.39772483,0.897777778,0.248510248,0.389128695,0.345482243,1,0.910782733,0.88133219,1
15,45.0538155,135.7598066,411.3972222,648.7402886,4859.644444,52,15,0.166666667,23,0.255555556,199,3.550740741,3.90931369,0.361851852,0.395442549,0.907407407,0.2609776,0.454138553,0.331693032,1,0.874222985,0.90646017,1
16,46.64501869,67.81977297,1619.25,2540.400805,6403,1,1,0.25,2,0.5,11,2.541666667,1.436140662,0.625,0.43832594,0.458333334,0.458964212,0.424404762,0.409995921,1,0.771551724,0.849288292,0
17,8.628647215,0,377,0,3253,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0.882955975,0.842138365,0
18,82.99713937,83.5828758,218.04,681.9701839,3587.84,9,14,0.56,2,0.08,31,2.766666667,1.791182105,0.313333333,0.452155332,0.76,0.435889894,0.450773109,0.393331339,1,0.894927249,0.869455596,0
19,86.66654264,177.8292568,231.6451613,342.9440721,4335.354839,12,13,0.419354839,6,0.193548387,62,3.512365591,1.995949453,0.327956989,0.413843482,0.88172043,0.258892042,0.402873844,0.343247326,1,0.874222985,0.904715984,1
20,18.36448307,9.492260264,2263.2,2823.478475,25492.4,5,0,0,0,0,9,4.7,3.528455753,0.5,0.5,1,0,0.486363636,0.469457111,1,0.771551724,0.787660385,0
21,27.04487252,32.26873663,327.3870968,432.6821839,3861.064516,39,8,0.129032258,15,0.241935484,116,2.44811828,2.228365131,0.473924731,0.433129639,0.818548387,0.346569249,0.54663016,0.369402299,0,0.98,0.9638,1
22,154.1848663,255.1124689,59.9375,157.8718578,3173.725,13,66,0.825,1,0.0125,162,2.969375,1.99492754,0.321666667,0.391994431,0.916666667,0.261177686,0.440433245,0.309605499,0,0.93,0.9434,1
